Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
187,Wes Roach,29.00,21.00,55.00,8.00,0.00,0.00,342097.84,294.70,61.00,63.20,1.76,43.70,5.00,196.00,606.00,159.00
188,Andrew Johnston,,4.00,16.00,4.00,1.00,0.00,336762.00,,,,,,,,,
189,Scott Pinckney,29.00,29.00,85.00,15.00,0.00,0.00,332532.80,296.80,63.10,69.00,1.80,39.80,10.00,303.00,944.00,243.00
190,Thongchai Jaidee,48.00,8.00,24.00,6.00,0.00,0.00,326949.70,,,,,,,,,
191,Cameron Percy,43.00,15.00,45.00,9.00,0.00,0.00,313456.30,,,,,,5.00,151.00,529.00,113.00
192,Mark Wilson,43.00,21.00,62.00,11.00,0.00,0.00,306866.25,274.70,66.20,65.00,1.81,55.00,3.00,187.00,739.00,169.00
193,D.A. Points,41.00,18.00,51.00,9.00,0.00,0.00,305250.00,282.30,59.50,65.40,1.79,43.00,3.00,185.00,561.00,155.00
194,Dawie van der Walt,35.00,25.00,70.00,11.00,0.00,0.00,301696.80,290.20,56.90,66.80,1.78,38.20,9.00,243.00,777.00,213.00
195,Tim Herron,48.00,14.00,41.00,7.00,0.00,0.00,297238.00,,,,,,1.00,132.00,475.00,117.00
196,Henrik Norlander,31.00,21.00,67.00,13.00,0.00,0.00,290888.70,288.10,63.40,68.20,1.78,50.00,6.00,231.00,788.00,162.00
197,Justin Leonard,45.00,13.00,40.00,7.00,0.00,0.00,288428.00,,,,,,1.00,120.00,470.00,114.00
198,J.J. Henry,43.00,24.00,66.00,11.00,0.00,0.00,280674.34,287.30,59.30,67.50,1.84,47.70,4.00,182.00,788.00,200.00
199,Brian Gay,46.00,13.00,34.00,4.00,1.00,0.00,280619.16,,,,,,,,,
200,Angel Cabrera,48.00,22.00,63.00,12.00,0.00,0.00,277117.72,294.60,58.10,63.10,1.82,42.90,3.00,191.00,706.00,182.00
